Control_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,M365_Policy_Type,M365_Policy_Name,Graph_API_Endpoint,Implementation_Guidance
SAMA-AC-01,Identity & Access Control,Strong Authentication,"Enforce MFA for privileged and user access; disable legacy authentication protocols",Technical,"MFA audit logs, Conditional Access reports",conditional_access,Require MFA for All Users,/identity/conditionalAccess/policies,"Create Conditional Access policy requiring MFA for all users and admins"
SAMA-AC-02,Identity & Access Control,Privileged Access Management,"Implement just-in-time (JIT) and just-enough-access (JEA) for admin roles",Technical,"PIM audit logs, role assignment reports",conditional_access,Require MFA for Administrators,/identity/conditionalAccess/policies,"Configure PIM and Conditional Access for admin roles"
SAMA-AC-03,Identity & Access Control,Legacy Protocol Blocking,"Block legacy authentication protocols that bypass modern security controls",Technical,"Sign-in logs, Conditional Access policies",conditional_access,Block Legacy Authentication,/identity/conditionalAccess/policies,"Create Conditional Access policy to block legacy auth protocols"
SAMA-DP-01,Data Protection,Data Classification,"Classify all data assets based on sensitivity and regulatory requirements",Management,"Data classification reports, sensitivity label usage",sensitivity_label,Sensitivity Label Hierarchy,/security/informationProtection/sensitivityLabels,"Deploy sensitivity labels: Public > General > Confidential > Highly Confidential"
SAMA-DP-02,Data Protection,Data Loss Prevention,"Prevent unauthorized sharing of sensitive data across communication channels",Technical,"DLP policy match reports, incident logs",dlp,PII Data Loss Prevention,/security/dataLossPreventionPolicies,"Create DLP policy detecting PII across Exchange, SharePoint, Teams"
SAMA-DP-03,Data Protection,Encryption at Rest,"Ensure all data at rest is encrypted using approved encryption standards",Technical,"Encryption audit reports, BitLocker status",device_compliance,Windows Device Compliance Baseline,/deviceManagement/deviceCompliancePolicies,"Require BitLocker encryption via Intune device compliance policy"
SAMA-DP-04,Data Protection,Data Retention,"Retain data for required periods per regulatory mandates; dispose securely",Management,"Retention policy reports, disposal logs",retention_label,Regulatory Records - 7 Years,/security/labels/retentionLabels,"Create retention labels with 7-year retention for financial records"
SAMA-NS-01,Network Security,Network Segmentation,"Implement network segmentation to isolate critical systems",Technical,"Network topology diagrams, firewall rules",conditional_access,Require Compliant Device,/identity/conditionalAccess/policies,"Use Conditional Access to require compliant/managed devices for network access"
SAMA-EP-01,Endpoint Security,Endpoint Protection,"Deploy and maintain endpoint protection on all devices",Technical,"Antivirus status reports, compliance dashboards",device_compliance,Windows Device Compliance Baseline,/deviceManagement/deviceCompliancePolicies,"Require antivirus and OS updates via Intune compliance policy"
SAMA-EP-02,Endpoint Security,Mobile Device Management,"Manage and secure mobile devices accessing organizational resources",Technical,"Intune compliance reports, device inventory",device_compliance,Mobile Device Compliance Baseline,/deviceManagement/deviceCompliancePolicies,"Deploy mobile compliance policy requiring encryption and PIN"
SAMA-CM-01,Communication,Communication Monitoring,"Monitor communications for regulatory compliance and policy violations",Management,"Communication compliance reports, DLP alerts",communication_compliance,Communication Compliance Policy,/security/cases/ediscoveryCases,"Configure communication compliance policies in Microsoft Purview"
SAMA-IR-01,Insider Risk,Insider Threat Management,"Detect and respond to insider risk indicators and data theft",Technical,"Insider risk alerts, investigation reports",insider_risk,Insider Risk Policy,/security/cases/ediscoveryCases,"Configure insider risk management policies in Microsoft Purview"
SAMA-GV-01,Governance,Information Governance,"Establish and maintain information governance policies",Management,"Policy documents, compliance reports",dlp,Financial Data Protection,/security/dataLossPreventionPolicies,"Create DLP policies for financial data governance"
SAMA-LM-01,Logging & Monitoring,Audit Logging,"Enable and retain audit logs for all critical systems and user activities",Technical,"Audit log exports, SIEM integration reports",dlp,Audit Log Monitoring,/security/dataLossPreventionPolicies,"Configure DLP to monitor and alert on sensitive data activities"
