Control_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Purview_Config_Type,Purview_Config_Name,Graph_API_Endpoint,Implementation_Guidance
SAMA-DP-01,Data Protection,Data Classification,"Classify all data assets based on sensitivity and regulatory requirements",Management,"Sensitivity label usage reports, classification audit",sensitivity_label,Sensitivity Label Hierarchy,/security/informationProtection/sensitivityLabels,"Create labels: Public > General > Confidential > Highly Confidential with encryption"
SAMA-DP-02,Data Protection,Data Loss Prevention,"Prevent unauthorized sharing of sensitive data across communication channels",Technical,"DLP match reports, incident dashboard",dlp_policy,PII Protection DLP Policy,/security/dataLossPreventionPolicies,"Create Purview DLP policy detecting PII across Exchange, SharePoint, OneDrive, Teams, Endpoints"
SAMA-DP-03,Data Protection,Encryption & Labeling,"Encrypt sensitive data and apply classification labels automatically",Technical,"Auto-labeling reports, encryption audit",sensitivity_label,Auto-Labeling Policy,/security/informationProtection/sensitivityLabels,"Configure auto-labeling conditions for credit card numbers and PII"
SAMA-DP-04,Data Protection,Data Retention,"Retain data for required periods per regulatory mandates; dispose securely after",Management,"Retention label reports, disposal certificates",retention_label,Financial Records - 7 Years,/security/labels/retentionLabels,"Create retention label with 7-year keep and delete action; mark as regulatory record"
SAMA-DP-05,Data Protection,Financial Data Protection,"Protect financial data from unauthorized access and sharing",Technical,"DLP reports, sensitivity label metrics",dlp_policy,Financial Data DLP Policy,/security/dataLossPreventionPolicies,"Create DLP policy detecting financial data (credit cards, IBAN, SWIFT)"
SAMA-RM-01,Records Management,Regulatory Records,"Maintain regulatory records with immutable retention",Management,"Records management reports, regulatory audit",records_management,Regulatory Records - 10 Years,/security/labels/retentionLabels,"Create retention label with 10-year retention; mark as regulatory record (cannot relabel)"
SAMA-RM-02,Records Management,Record Disposition,"Implement secure disposition of records after retention period",Management,"Disposition review reports, approval workflows",retention_policy,Auto-Dispose After Retention,/security/labels/retentionLabels,"Configure retention labels with keepAndDelete action and disposition review"
SAMA-ED-01,eDiscovery,Legal Hold Management,"Place legal holds on relevant content for investigations",Technical,"eDiscovery case reports, hold audit logs",ediscovery,Legal Hold Case,/security/cases/ediscoveryCases,"Create eDiscovery cases with custodians and non-custodial data sources"
SAMA-ED-02,eDiscovery,Content Search,"Enable content search across M365 services for compliance investigations",Technical,"Search result exports, review set audit",ediscovery,Compliance Search,/security/cases/ediscoveryCases,"Configure eDiscovery search queries and review sets"
SAMA-IB-01,Information Barrier,Communication Restrictions,"Restrict communication between specific groups for regulatory compliance",Technical,"IB policy reports, compliance audit",information_barrier,Department Communication Barrier,/informationProtection/policy/labels,"Create information barrier policies between departments"
SAMA-GV-01,Governance,Data Governance Framework,"Establish data governance policies for data lifecycle management",Management,"Governance framework docs, compliance dashboard",retention_policy,Data Lifecycle Policy,/security/labels/retentionLabels,"Create retention policies covering all M365 locations with appropriate periods"
SAMA-GV-02,Governance,Compliance Monitoring,"Monitor and report on compliance posture across data governance controls",Management,"Compliance dashboard, Activity Explorer reports",sensitivity_label,Compliance Monitoring Labels,/security/informationProtection/sensitivityLabels,"Deploy sensitivity labels and monitor adoption via Activity Explorer and Content Explorer"
SAMA-LM-01,Logging & Monitoring,Audit Trail,"Maintain comprehensive audit trail for all data access and modifications",Technical,"Audit log exports, SIEM reports",retention_policy,Audit Log Retention - 1 Year,/security/labels/retentionLabels,"Create retention policy for audit logs with 1-year retention period"
